task,wacc,uar,r_Present,r_Unknown,r_Absent,combinations
circor1,0.8688888888888889,0.826354143189843,0.9111111111111112,0.7058823529411765,0.8620689655172413,"-lab-physionet2022_dl-evar-logs-circor1_ar_cnn14.AR_Cnn14_fbe800f3-weights_ep44it69-0.68043_loss1.0397,-lab-physionet2022_dl-evar-logs-circor1_ar_m2d.AR_M2D_8ff7abf7-weights_ep41it554-0.81834_loss0.7292"
circor1,0.6288888888888889,0.6914356547216588,0.6,0.8823529411764706,0.5919540229885057,"-lab-physionet2022_dl-evar-logs-circor1_ar_byola.AR_BYOLA_ca67c1d1-weights_ep6it69-0.59223_loss1.1138,-lab-physionet2022_dl-evar-logs-circor1_ar_ast.AR_AST_63cb7c1c-weights_ep10it277-0.65488_loss2.1677"
circor1,0.7266666666666667,0.691225302381489,0.7555555555555555,0.5882352941176471,0.7298850574712644,"-lab-physionet2022_dl-evar-logs-circor1_ar_byola.AR_BYOLA_ca67c1d1-weights_ep26it69-0.70984_loss0.8527,-lab-physionet2022_dl-evar-logs-circor1_ar_ast.AR_AST_63cb7c1c-weights_ep46it277-0.69968_loss0.9690"
circor1,0.82,0.7630005258808504,0.8444444444444444,0.5882352941176471,0.8563218390804598,"-lab-physionet2022_dl-evar-logs-circor1_ar_byola.AR_BYOLA_ca67c1d1-weights_ep17it69-0.68638_loss0.7562,-lab-physionet2022_dl-evar-logs-circor1_ar_m2d.AR_M2D_8ff7abf7-weights_ep44it554-0.82954_loss0.6349"
circor1,0.8555555555555555,0.8148598903162797,0.9111111111111112,0.7058823529411765,0.8275862068965517,"-lab-physionet2022_dl-evar-logs-circor1_ar_cnn14.AR_Cnn14_fbe800f3-weights_ep43it69-0.69023_loss0.7623,-lab-physionet2022_dl-evar-logs-circor1_ar_m2d.AR_M2D_8ff7abf7-weights_ep35it554-0.82114_loss0.8219"
circor1,0.8377777777777777,0.7761550597250396,0.8666666666666667,0.5882352941176471,0.8735632183908046,"-lab-physionet2022_dl-evar-logs-circor1_ar_byola.AR_BYOLA_ca67c1d1-weights_ep26it69-0.70984_loss0.8527,-lab-physionet2022_dl-evar-logs-circor1_ar_m2d.AR_M2D_8ff7abf7-weights_ep41it554-0.83199_loss0.4177"
circor1,0.6266666666666667,0.6743219893321313,0.7555555555555555,0.8823529411764706,0.3850574712643678,"-lab-physionet2022_dl-evar-logs-circor1_ar_cnn14.AR_Cnn14_fbe800f3-weights_ep43it69-0.69023_loss0.7623,-lab-physionet2022_dl-evar-logs-circor1_ar_cnn14.AR_Cnn14_fbe800f3-weights_ep48it69-0.69023_loss1.1263"
circor1,0.7111111111111111,0.6829915107805574,0.8444444444444444,0.6470588235294118,0.5574712643678161,"-lab-physionet2022_dl-evar-logs-circor1_ar_cnn14.AR_Cnn14_fbe800f3-weights_ep43it69-0.69023_loss0.7623,-lab-physionet2022_dl-evar-logs-circor1_ar_ast.AR_AST_63cb7c1c-weights_ep46it277-0.69968_loss0.9690"
circor1,0.8622222222222222,0.804575163398693,0.9333333333333332,0.6470588235294118,0.8333333333333334,"-lab-physionet2022_dl-evar-logs-circor1_ar_ast.AR_AST_63cb7c1c-weights_ep10it277-0.65488_loss2.1677,-lab-physionet2022_dl-evar-logs-circor1_ar_m2d.AR_M2D_8ff7abf7-weights_ep35it554-0.82114_loss0.8219"
circor1,0.6444444444444445,0.5999699496656901,0.8222222222222222,0.5294117647058824,0.4482758620689655,"-lab-physionet2022_dl-evar-logs-circor1_ar_cnn14.AR_Cnn14_fbe800f3-weights_ep34it69-0.69233_loss1.3810,-lab-physionet2022_dl-evar-logs-circor1_ar_ast.AR_AST_63cb7c1c-weights_ep10it277-0.65488_loss2.1677"
circor1,0.5755555555555556,0.6302606866501389,0.7555555555555555,0.8823529411764706,0.2528735632183908,"-lab-physionet2022_dl-evar-logs-circor1_ar_cnn14.AR_Cnn14_fbe800f3-weights_ep43it69-0.69023_loss0.7623,-lab-physionet2022_dl-evar-logs-circor1_ar_ast.AR_AST_63cb7c1c-weights_ep4it277-0.65278_loss0.8936"
circor1,0.8244444444444444,0.7806926602058448,0.8444444444444444,0.6470588235294118,0.8505747126436781,"-lab-physionet2022_dl-evar-logs-circor1_ar_byola.AR_BYOLA_ca67c1d1-weights_ep6it69-0.59223_loss1.1138,-lab-physionet2022_dl-evar-logs-circor1_ar_m2d.AR_M2D_8ff7abf7-weights_ep41it554-0.83199_loss0.4177"
circor1,0.6622222222222223,0.7180001502516715,0.6222222222222222,0.8823529411764706,0.6494252873563219,"-lab-physionet2022_dl-evar-logs-circor1_ar_byola.AR_BYOLA_ca67c1d1-weights_ep6it69-0.59223_loss1.1138,-lab-physionet2022_dl-evar-logs-circor1_ar_ast.AR_AST_63cb7c1c-weights_ep42it277-0.69338_loss0.6990"
circor1,0.5844444444444444,0.629742318383292,0.5555555555555556,0.7647058823529411,0.5689655172413793,"-lab-physionet2022_dl-evar-logs-circor1_ar_cnn14.AR_Cnn14_fbe800f3-weights_ep38it69-0.61393_loss1.0983,-lab-physionet2022_dl-evar-logs-circor1_ar_ast.AR_AST_63cb7c1c-weights_ep4it277-0.65278_loss0.8936"
circor1,0.7111111111111111,0.7514611975058223,0.7111111111111111,0.8823529411764706,0.6609195402298851,"-lab-physionet2022_dl-evar-logs-circor1_ar_ast.AR_AST_63cb7c1c-weights_ep10it277-0.65488_loss2.1677,-lab-physionet2022_dl-evar-logs-circor1_ar_ast.AR_AST_63cb7c1c-weights_ep14it277-0.68183_loss0.6690"
circor1,0.8422222222222222,0.8077079107505072,0.8666666666666667,0.7058823529411765,0.8505747126436781,"-lab-physionet2022_dl-evar-logs-circor1_ar_ast.AR_AST_63cb7c1c-weights_ep14it277-0.68183_loss0.6690,-lab-physionet2022_dl-evar-logs-circor1_ar_m2d.AR_M2D_8ff7abf7-weights_ep41it554-0.83199_loss0.4177"
circor1,0.8511111111111112,0.7833070392908121,0.9111111111111112,0.5882352941176471,0.8505747126436781,"-lab-physionet2022_dl-evar-logs-circor1_ar_m2d.AR_M2D_8ff7abf7-weights_ep35it554-0.82114_loss0.8219,-lab-physionet2022_dl-evar-logs-circor1_ar_m2d.AR_M2D_8ff7abf7-weights_ep41it554-0.81834_loss0.7292"
circor1,0.8422222222222222,0.7778153406956653,0.8888888888888888,0.5882352941176471,0.8563218390804598,"-lab-physionet2022_dl-evar-logs-circor1_ar_cnn14.AR_Cnn14_fbe800f3-weights_ep44it69-0.68043_loss1.0397,-lab-physionet2022_dl-evar-logs-circor1_ar_m2d.AR_M2D_8ff7abf7-weights_ep41it554-0.83199_loss0.4177"
circor1,0.7644444444444445,0.7748929456840208,0.8,0.8235294117647058,0.7011494252873564,"-lab-physionet2022_dl-evar-logs-circor1_ar_ast.AR_AST_63cb7c1c-weights_ep14it277-0.68183_loss0.6690,-lab-physionet2022_dl-evar-logs-circor1_ar_ast.AR_AST_63cb7c1c-weights_ep46it277-0.69968_loss0.9690"
circor1,0.5777777777777777,0.6196529186387199,0.6,0.7647058823529411,0.4942528735632184,"-lab-physionet2022_dl-evar-logs-circor1_ar_byola.AR_BYOLA_ca67c1d1-weights_ep43it69-0.64123_loss0.8089,-lab-physionet2022_dl-evar-logs-circor1_ar_byola.AR_BYOLA_ca67c1d1-weights_ep17it69-0.68638_loss0.7562"
circor1,0.5733333333333334,0.5875967245135602,0.8888888888888888,0.7647058823529411,0.1091954022988505,"-lab-physionet2022_dl-evar-logs-circor1_ar_cnn14.AR_Cnn14_fbe800f3-weights_ep34it69-0.69233_loss1.3810,-lab-physionet2022_dl-evar-logs-circor1_ar_cnn14.AR_Cnn14_fbe800f3-weights_ep43it69-0.69023_loss0.7623"
circor1,0.7088888888888889,0.7378559086469837,0.6888888888888889,0.8235294117647058,0.7011494252873564,"-lab-physionet2022_dl-evar-logs-circor1_ar_cnn14.AR_Cnn14_fbe800f3-weights_ep38it69-0.61393_loss1.0983,-lab-physionet2022_dl-evar-logs-circor1_ar_ast.AR_AST_63cb7c1c-weights_ep14it277-0.68183_loss0.6690"
circor1,0.6422222222222222,0.594215310645331,0.5777777777777777,0.4117647058823529,0.7931034482758621,"-lab-physionet2022_dl-evar-logs-circor1_ar_byola.AR_BYOLA_ca67c1d1-weights_ep5it69-0.70179_loss0.7901,-lab-physionet2022_dl-evar-logs-circor1_ar_cnn14.AR_Cnn14_fbe800f3-weights_ep38it69-0.61393_loss1.0983"
circor1,0.8488888888888889,0.7514987604237097,0.9333333333333332,0.4705882352941176,0.8505747126436781,"-lab-physionet2022_dl-evar-logs-circor1_ar_m2d.AR_M2D_8ff7abf7-weights_ep35it554-0.82114_loss0.8219,-lab-physionet2022_dl-evar-logs-circor1_ar_m2d.AR_M2D_8ff7abf7-weights_ep44it554-0.82954_loss0.6349"
circor1,0.6155555555555555,0.6478776951393583,0.6444444444444445,0.7647058823529411,0.5344827586206896,"-lab-physionet2022_dl-evar-logs-circor1_ar_byola.AR_BYOLA_ca67c1d1-weights_ep17it69-0.68638_loss0.7562,-lab-physionet2022_dl-evar-logs-circor1_ar_cnn14.AR_Cnn14_fbe800f3-weights_ep43it69-0.69023_loss0.7623"
circor1,0.6111111111111112,0.6579069942153107,0.6444444444444445,0.8235294117647058,0.5057471264367817,"-lab-physionet2022_dl-evar-logs-circor1_ar_byola.AR_BYOLA_ca67c1d1-weights_ep43it69-0.64123_loss0.8089,-lab-physionet2022_dl-evar-logs-circor1_ar_cnn14.AR_Cnn14_fbe800f3-weights_ep48it69-0.69023_loss1.1263"
circor1,0.8444444444444444,0.7338066260987154,0.9333333333333332,0.4117647058823529,0.8563218390804598,"-lab-physionet2022_dl-evar-logs-circor1_ar_ast.AR_AST_63cb7c1c-weights_ep46it277-0.69968_loss0.9690,-lab-physionet2022_dl-evar-logs-circor1_ar_m2d.AR_M2D_8ff7abf7-weights_ep44it554-0.82954_loss0.6349"
